"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"119","Pat Freiermuth","PIT","TE","10","2025","156","0.18","1.79","0.44","51","0.12","0.80","0.14","94","0.21","2.35","0.55","63","0.17","1.30","0.26","93","0.18","2.12","0.57"
"120","Jaylin Lane","WAS","WR","11","2025","153","0.19","1.47","0.26","51","0.22","2.47","0.36","99","0.18","1.00","0.20","95","0.20","1.42","0.24","58","0.17","1.55","0.28"
"121","Nick Westbrook-Ikhine","MIA","WR","11","2025","153","0.11","0.58","0.13","27","0.04","","0.00","120","0.13","0.74","0.17","89","0.10","0.38","0.09","64","0.13","0.86","0.18"
"122","Marvin Mims","DEN","WR","9","2025","153","0.21","1.53","0.41","33","0.24","4.09","0.80","116","0.21","0.85","0.21","78","0.19","2.06","0.42","75","0.23","0.97","0.24"
"123","Josh Reynolds","NYJ","WR","5","2025","153","0.14","0.66","0.15","31","0.16","0.74","0.17","120","0.13","0.65","0.13","70","0.16","0.96","0.20","83","0.12","0.41","0.09"
"124","Ricky Pearsall","SF","WR","5","2025","152","0.20","2.15","0.35","27","0.19","3.93","0.58","115","0.22","1.92","0.33","63","0.27","3.87","0.59","89","0.16","0.93","0.18"
"125","Christian Kirk","HST","WR","6","2025","150","0.19","0.96","0.20","41","0.24","0.90","0.21","102","0.16","0.99","0.20","74","0.22","1.53","0.31","76","0.16","0.41","0.09"
"126","Tre Harris","LAC","WR","11","2025","150","0.13","0.91","0.24","44","0.07","0.25","0.07","101","0.15","1.19","0.25","74","0.11","0.58","0.14","76","0.14","1.24","0.33"
"127","Noah Fant","CIN","TE","9","2025","148","0.22","1.73","0.48","35","0.06","0.26","0.25","108","0.28","2.28","0.51","56","0.18","1.61","0.41","92","0.25","1.80","0.53"
"128","Calvin Ridley","TEN","WR","7","2025","148","0.23","2.05","0.32","38","0.11","2.05","0.28","105","0.28","2.14","0.35","78","0.19","1.87","0.29","70","0.27","2.24","0.35"
"129","Tyler Higbee","LA","TE","9","2025","147","0.20","1.29","0.35","54","0.24","1.00","0.47","89","0.18","1.53","0.29","84","0.20","1.17","0.25","63","0.21","1.46","0.48"
"130","Ja'Tavion Sanders","CAR","TE","8","2025","147","0.20","1.16","0.28","35","0.11","0.34","0.12","101","0.24","1.50","0.35","74","0.15","0.57","0.15","73","0.25","1.75","0.41"
"131","David Sills","ATL","WR","10","2025","146","0.05","0.23","0.05","42","0.07","","0.00","101","0.05","0.34","0.07","72","0.06","0.15","0.03","74","0.05","0.31","0.07"
"132","Noah Gray","KC","TE","10","2025","145","0.14","0.74","0.16","39","0.26","0.90","0.27","99","0.10","0.73","0.13","76","0.17","0.61","0.17","69","0.12","0.88","0.16"
"133","Hunter Renfrow","CAR","WR","6","2025","143","0.16","0.62","0.25","38","0.18","0.58","0.51","99","0.14","0.51","0.13","74","0.18","0.64","0.24","69","0.14","0.61","0.26"
"134","Demarcus Robinson","SF","WR","8","2025","143","0.16","1.08","0.21","29","0.17","1.03","0.17","109","0.15","1.15","0.21","70","0.14","0.73","0.13","73","0.18","1.42","0.25"
"135","Kalif Raymond","DET","WR","10","2025","142","0.12","0.80","0.18","36","0.08","0.31","0.09","104","0.13","0.98","0.20","66","0.08","0.27","0.07","76","0.16","1.25","0.26"
"136","KaVontae Turpin","DAL","WR","8","2025","142","0.17","1.30","0.30","39","0.26","1.31","0.41","98","0.14","1.36","0.25","66","0.21","1.83","0.35","76","0.13","0.83","0.23"
"137","Gunnar Helm","TEN","TE","10","2025","140","0.21","1.54","0.37","29","0.14","0.90","0.40","105","0.22","1.81","0.38","68","0.21","1.71","0.35","72","0.21","1.39","0.39"
