"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"31","Juwan Johnson","NO","TE","10","2025","291","0.010","1.65","0.20","4.5","59","16","5.5","0.000","1.13","0.19","2.9","6.3","38","13.1","0.053","2.64","0.31","7.3","13.2","19","6.5","-0.053","0.58","0.05","12.2","0.0","67","23.0","-0.015","2.00","0.22","6.5","1.5","","0.0","","","","0.0","","27","9.3","0.037","0.68","0.14","10.6","7.4","9","3.1","0.000","","","12.1","0.0","40","13.7","0.050","2.26","0.21","7.5","24","8.2","0.042","1.00","0.12","6.4","4.2","3","1.0","0.000","5.00","0.33","-4.3","0.0","39","13.4","-0.026","1.37","0.20","","0.0","9","3.1","0.000","1.67","0.33","-0.8","0.0"
"32","Nico Collins","HST","WR","9","2025","289","0.087","2.20","0.28","15.6","81","38","13.1","-0.026","3.05","0.34","2.6","10.5","24","8.3","0.083","1.33","0.42","8.3","25.0","44","15.2","0.114","0.23","0.20","14.1","15.9","28","9.7","0.036","2.38","0.28","10.9","14.3","1","0.3","-1.000","","","0.0","16.0","28","9.7","0.179","1.36","0.25","11.6","21.4","30","10.4","0.067","2.63","0.23","11.9","10.0","53","18.3","0.208","4.06","0.28","20.8","37","12.8","0.000","1.89","0.21","6.9","8.1","3","1.0","0.000","1.67","1.00","-3.3","0.0","3","1.0","0.333","0.67","0.33","","33.3","","0.0","","","","","0.0"
"33","DJ Moore","CHI","WR","10","2025","288","0.069","1.42","0.16","12.2","49","3","1.0","0.000","2.80","0.20","8.3","0.0","28","9.7","0.321","2.11","0.14","11.5","25.0","39","13.5","0.103","1.57","0.19","16.5","15.4","49","17.0","0.102","0.94","0.12","11.4","14.3","2","0.7","-0.500","","","0.0","15.5","33","11.5","0.030","0.45","0.06","15.7","15.2","33","11.5","0.091","1.09","0.15","14.3","9.1","48","16.7","-0.042","","0.06","4.2","31","10.8","0.000","3.69","0.25","9.5","12.9","9","3.1","0.000","3.44","0.67","-3.4","0.0","3","1.0","0.000","","0.33","","0.0","10","3.5","0.100","3.60","0.50","-1.7","10.0"
"34","Travis Kelce","KC","TE","10","2025","288","0.073","2.10","0.22","10.8","65","22","7.6","0.182","0.41","0.18","1.9","22.7","22","7.6","0.318","2.22","0.30","6.4","36.4","22","7.6","-0.045","1.36","0.12","11.3","9.1","77","26.7","0.078","2.13","0.24","5.7","7.8","","0.0","","","","0.0","","33","11.5","0.061","1.42","0.09","9.1","9.1","1","0.3","0.000","","","22.0","0.0","23","8.0","0.043","1.48","0.08","8.7","49","17.0","0.041","3.65","0.25","5.8","10.2","12","4.2","0.000","2.31","0.69","-2.8","0.0","25","8.7","0.000","1.84","0.16","","0.0","2","0.7","0.000","8.50","0.50","6.5","0.0"
"35","Davante Adams","LA","WR","10","2025","287","0.192","1.98","0.29","23.3","84","17","5.9","0.588","0.76","0.41","3.1","52.9","23","8.0","0.435","2.83","0.52","10.8","39.1","60","20.9","0.133","2.07","0.23","12.6","21.7","52","18.1","0.096","2.46","0.25","8.6","11.5","1","0.3","1.000","11.00","1.00","100.0","15.0","29","10.1","0.207","1.66","0.31","10.8","24.1","30","10.5","0.167","2.50","0.37","10.9","26.7","40","13.9","0.150","2.24","0.37","20.0","34","11.8","0.118","0.38","0.06","9.2","17.6","1","0.3","0.000","","","-1.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"36","Dalton Schultz","HST","TE","10","2025","287","0.059","1.67","0.23","7.7","67","11","3.8","0.182","0.45","0.27","3.1","27.3","42","14.6","0.071","2.36","0.33","8.1","11.9","12","4.2","0.000","","0.08","8.6","8.3","63","22.0","0.016","1.75","0.25","6.3","3.2","","0.0","","","","0.0","","33","11.5","0.061","0.31","0.14","10.1","9.1","11","3.8","0.000","5.36","0.18","10.8","0.0","28","9.8","0.143","","0.10","14.3","19","6.6","0.211","2.65","0.25","5.5","15.8","","0.0","","","","","0.0","64","22.3","0.016","2.25","0.27","","1.6","4","1.4","0.000","2.00","0.25","-1.5","0.0"
"37","Cade Otton","TB","TE","10","2025","284","-0.021","1.30","0.18","3.5","52","19","6.7","0.158","2.26","0.32","3.2","15.8","43","15.1","-0.047","1.17","0.17","6.4","7.0","13","4.6","0.000","1.46","0.08","7.6","0.0","79","27.8","-0.038","1.46","0.19","6.0","0.0","","0.0","","","","0.0","","20","7.0","-0.150","1.23","0.14","12.0","0.0","2","0.7","0.000","","","10.0","0.0","18","6.3","-0.056","1.83","0.11","0.0","41","14.4","0.000","1.14","0.24","4.0","9.8","2","0.7","0.000","10.00","1.00","-4.0","0.0","45","15.8","0.000","0.41","0.11","","0.0","2","0.7","0.000","","","-3.0","0.0"
"38","Tyler Warren","IND","TE","10","2025","284","0.007","2.13","0.22","3.5","64","6","2.1","0.167","2.17","0.33","3.2","16.7","29","10.2","0.034","0.86","0.21","8.6","10.3","19","6.7","0.053","","0.05","10.4","5.3","50","17.6","0.000","0.98","0.18","5.9","0.0","","0.0","","","","0.0","","27","9.5","-0.037","2.26","0.19","9.1","3.7","12","4.2","0.000","","","9.3","0.0","42","14.8","-0.048","2.36","0.14","2.4","45","15.8","0.022","2.62","0.23","4.0","4.4","6","2.1","0.000","13.50","1.00","-4.7","0.0","38","13.4","0.000","2.97","0.36","","0.0","10","3.5","0.100","4.50","0.40","3.6","10.0"
"39","Hunter Henry","NE","TE","11","2025","283","0.035","1.46","0.17","6.7","50","11","3.9","0.182","2.64","0.36","3.4","27.3","33","11.7","0.091","0.76","0.09","8.3","15.2","25","8.8","0.120","0.54","0.08","11.5","8.0","54","19.1","-0.037","1.33","0.20","7.0","0.0","","0.0","","","","0.0","","36","12.7","-0.028","0.17","0.06","8.5","5.6","6","2.1","0.167","","","9.5","16.7","41","14.5","0.024","1.44","0.16","4.9","31","11.0","0.097","3.71","0.26","9.4","9.7","2","0.7","0.000","4.50","0.50","-3.0","0.0","28","9.9","-0.036","1.97","0.30","","0.0","16","5.7","0.063","1.81","0.19","3.6","6.3"
"40","Zay Flowers","BLT","WR","10","2025","281","0.110","2.48","0.25","14.2","70","12","4.3","0.000","0.46","0.15","3.1","8.3","42","14.9","0.024","1.48","0.31","9.0","14.3","29","10.3","0.207","1.52","0.14","14.3","20.7","54","19.2","0.074","2.07","0.26","8.2","9.3","1","0.4","1.000","","","100.0","16.0","24","8.5","0.167","2.71","0.17","11.8","20.8","30","10.7","0.067","4.00","0.27","11.8","16.7","37","13.2","0.216","2.50","0.08","16.2","35","12.5","0.143","3.75","0.31","8.2","14.3","13","4.6","0.000","4.92","0.85","-2.8","0.0","3","1.1","0.000","","","","0.0","1","0.4","0.000","","","4.0","0.0"
"41","DK Metcalf","PIT","WR","10","2025","279","0.000","1.91","0.22","11.8","63","47","16.8","-0.021","1.33","0.21","2.7","17.0","27","9.7","-0.074","1.87","0.20","10.6","7.4","9","3.2","-0.222","","","11.3","0.0","32","11.5","0.000","2.29","0.29","8.8","6.3","2","0.7","0.000","","","0.0","14.5","19","6.8","0.158","0.21","0.11","10.2","15.8","26","9.3","-0.154","2.96","0.19","10.5","3.8","73","26.2","0.027","1.59","0.22","13.7","36","12.9","0.111","2.41","0.24","6.2","19.4","6","2.2","0.000","10.00","0.83","-2.2","0.0","1","0.4","0.000","","","","0.0","1","0.4","0.000","","","1.0","0.0"
"42","T.J. Hockenson","MIN","TE","10","2025","275","0.029","1.00","0.17","5.8","47","28","10.2","0.179","2.75","0.29","2.4","17.9","26","9.5","0.077","0.77","0.15","7.4","15.4","16","5.8","0.125","0.81","0.13","8.5","12.5","74","26.9","-0.027","1.00","0.14","6.2","0.0","","0.0","","","","0.0","","23","8.4","-0.043","0.87","0.13","8.5","0.0","8","2.9","-0.250","","0.11","13.1","0.0","28","10.2","0.036","0.50","0.11","7.1","21","7.6","0.143","0.43","0.14","3.0","14.3","6","2.2","0.000","4.00","0.86","-5.2","0.0","43","15.6","0.000","0.51","0.12","","0.0","2","0.7","0.000","","0.50","-1.5","0.0"
"43","Drake London","ATL","WR","9","2025","272","0.029","2.90","0.32","14.3","90","23","8.5","-0.043","4.57","0.61","3.1","21.7","38","14.0","0.132","2.90","0.43","12.2","26.3","22","8.1","0.091","1.96","0.13","16.8","13.6","72","26.5","-0.042","3.33","0.39","9.6","5.6","3","1.1","0.333","","0.33","33.3","15.0","27","9.9","0.037","0.33","0.19","11.9","14.8","25","9.2","0.040","3.77","0.15","14.8","8.0","32","11.8","-0.031","3.62","0.29","12.5","25","9.2","0.120","2.77","0.19","10.3","20.0","1","0.4","0.000","-2.00","1.00","-4.0","0.0","4","1.5","0.000","1.00","0.50","0.3","25.0","","0.0","","","","","0.0"
"44","Jaylen Waddle","MIA","WR","11","2025","269","0.100","2.62","0.26","15.6","71","16","5.9","0.000","0.82","0.35","3.6","12.5","45","16.7","0.311","2.68","0.36","10.4","33.3","16","5.9","0.188","5.63","0.25","15.2","25.0","28","10.4","-0.036","1.17","0.24","9.4","7.1","3","1.1","0.333","","","33.3","13.3","31","11.5","0.000","1.28","0.06","13.9","6.5","53","19.7","0.000","3.79","0.28","10.6","9.4","36","13.4","0.222","4.28","0.22","19.4","34","12.6","0.059","1.50","0.22","9.2","11.8","4","1.5","0.000","0.25","0.75","-3.5","0.0","1","0.4","0.000","","","","0.0","2","0.7","0.000","3.50","0.50","-4.5","0.0"
"45","Zach Ertz","WAS","TE","11","2025","267","0.041","1.43","0.21","9.0","56","24","9.0","0.083","1.71","0.33","3.8","16.7","33","12.4","0.030","1.18","0.21","7.8","9.1","38","14.2","0.026","0.53","0.11","10.3","15.8","77","28.8","0.078","1.70","0.19","8.0","7.8","1","0.4","0.000","","","0.0","23.0","13","4.9","0.077","2.38","0.23","9.1","7.7","16","6.0","0.063","1.24","0.29","10.4","12.5","10","3.7","0.000","2.45","0.27","0.0","34","12.7","-0.029","0.97","0.21","9.2","5.9","1","0.4","0.000","","","-6.0","0.0","19","7.1","0.000","0.84","0.16","","0.0","1","0.4","0.000","25.00","1.00","-3.0","0.0"
"46","Deebo Samuel","WAS","WR","10","2025","264","0.004","1.75","0.25","8.3","68","20","7.6","-0.050","1.75","0.30","3.0","10.0","19","7.2","0.211","1.10","0.20","9.9","31.6","17","6.4","0.000","2.76","0.24","13.4","11.8","42","15.9","0.000","1.61","0.18","9.8","2.4","1","0.4","0.000","","","0.0","14.0","11","4.2","-0.273","","","9.9","0.0","7","2.7","-0.286","","","12.4","0.0","39","14.8","-0.051","1.98","0.25","5.1","50","18.9","0.100","2.38","0.30","8.2","18.0","26","9.8","0.000","2.96","0.65","-3.9","0.0","26","9.8","0.000","0.23","0.08","","0.0","6","2.3","0.000","2.33","0.33","-2.7","0.0"
"47","Xavier Hutchinson","HST","WR","10","2025","263","-0.030","1.00","0.13","6.5","34","14","5.3","0.071","3.00","0.36","2.6","21.4","29","11.0","-0.034","0.38","0.17","7.2","10.3","30","11.4","0.000","","0.03","13.2","10.0","35","13.3","0.000","0.89","0.17","7.9","8.6","","0.0","","","","0.0","","28","10.6","0.000","2.43","0.18","11.5","7.1","18","6.8","-0.056","0.72","0.06","11.3","0.0","70","26.6","-0.043","0.14","0.06","2.9","32","12.2","-0.125","2.13","0.09","7.2","3.1","","0.0","","","","","0.0","7","2.7","0.000","3.00","0.57","","0.0","","0.0","","","","","0.0"
"48","Jakobi Meyers","JAX, LV","WR","9","2025","262","0.011","1.71","0.21","7.3","56","9","3.4","0.111","2.78","0.11","3.3","11.1","45","17.2","0.156","2.09","0.27","9.4","17.8","23","8.8","0.043","1.57","0.13","13.4","4.3","54","20.6","0.037","2.35","0.26","11.0","9.3","","0.0","","","","0.0","","24","9.2","-0.083","2.15","0.12","12.3","0.0","13","5.0","0.077","1.36","0.21","13.0","7.7","41","15.6","-0.122","0.53","0.14","0.0","40","15.3","-0.050","1.23","0.20","8.7","7.5","5","1.9","0.000","1.80","0.40","-3.8","0.0","8","3.1","0.000","2.38","0.50","","0.0","","0.0","","","","","0.0"
"49","Stefon Diggs","NE","WR","11","2025","261","0.050","2.47","0.27","10.0","71","30","11.5","0.200","2.37","0.43","2.7","30.0","33","12.6","0.091","4.29","0.43","6.3","12.1","28","10.7","0.036","1.57","0.18","11.4","7.1","45","17.2","-0.044","2.27","0.24","7.3","2.2","3","1.1","-0.333","","0.33","0.0","12.7","21","8.0","0.000","3.82","0.41","7.9","9.5","13","5.0","-0.077","","","10.7","0.0","32","12.3","0.063","2.24","0.15","9.4","48","18.4","0.104","2.20","0.16","10.4","10.4","3","1.1","0.000","2.00","0.50","-4.3","0.0","4","1.5","0.000","4.50","0.50","","0.0","1","0.4","0.000","","","1.0","0.0"
"50","A.J. Brown","PHI","WR","9","2025","261","0.050","1.71","0.24","13.4","64","36","13.8","-0.028","2.06","0.36","3.2","22.2","12","4.6","0.000","2.69","0.54","11.6","25.0","29","11.1","0.172","0.50","0.13","11.8","17.2","58","22.2","0.052","1.97","0.22","9.6","12.1","3","1.1","0.333","4.33","0.33","33.3","19.7","16","6.1","-0.063","","0.06","13.8","0.0","17","6.5","0.059","1.53","0.06","12.6","5.9","64","24.5","0.031","2.37","0.24","9.4","19","7.3","0.105","1.20","0.25","9.5","15.8","4","1.5","0.000","-0.75","0.50","-1.0","0.0","3","1.1","0.333","","0.33","","33.3","","0.0","","","","","0.0"
"51","Brian Thomas","JAX","WR","8","2025","260","0.019","1.60","0.23","11.5","59","15","5.8","-0.267","0.93","0.27","3.0","0.0","33","12.7","0.212","2.33","0.39","9.2","27.3","25","9.6","0.080","1.76","0.24","14.0","16.0","53","20.4","-0.038","1.28","0.17","10.7","9.4","6","2.3","-0.167","2.33","0.50","16.7","15.8","30","11.5","-0.100","0.73","0.17","13.2","0.0","17","6.5","0.118","2.71","0.12","13.7","11.8","55","21.2","-0.018","1.73","0.18","9.1","24","9.2","0.208","1.50","0.21","8.8","16.7","1","0.4","0.000","","1.00","-7.0","0.0","1","0.4","0.000","1.00","1.00","","0.0","","0.0","","","","","0.0"
"52","Sterling Shepard","TB","WR","10","2025","260","0.088","1.32","0.17","14.2","45","18","6.9","0.222","0.89","0.11","2.9","22.2","28","10.8","-0.179","1.00","0.14","10.1","14.3","30","11.5","0.233","1.29","0.10","13.3","23.3","45","17.3","0.044","1.04","0.17","7.2","11.1","","0.0","","","","0.0","","30","11.5","0.200","0.73","0.17","12.2","20.0","21","8.1","0.095","1.71","0.14","11.3","9.5","24","9.2","-0.125","0.46","0.13","0.0","50","19.2","0.200","1.41","0.18","9.7","18.0","7","2.7","0.000","9.29","0.86","-2.1","0.0","7","2.7","0.000","1.43","0.29","","0.0","","0.0","","","","","0.0"
"53","Brandin Cooks","NO","WR","10","2025","259","0.012","0.63","0.09","5.0","25","13","5.0","0.077","2.00","0.31","3.0","7.7","23","8.9","0.130","1.26","0.13","9.0","13.0","21","8.1","0.048","1.76","0.24","10.8","4.8","61","23.6","-0.049","0.44","0.10","11.4","0.0","4","1.5","0.250","","","25.0","12.0","19","7.3","-0.053","","","13.8","0.0","28","10.8","-0.036","0.69","0.07","14.8","7.1","58","22.4","-0.034","","","1.7","22","8.5","0.182","0.26","0.09","7.6","18.2","2","0.8","0.000","4.00","0.50","-3.0","0.0","8","3.1","0.000","1.50","0.25","","0.0","","0.0","","","","","0.0"
"54","Romeo Doubs","GB","WR","10","2025","257","0.086","1.90","0.24","16.3","64","26","10.1","0.231","1.88","0.31","3.1","26.9","32","12.5","0.031","1.84","0.28","10.4","15.6","38","14.8","0.053","0.38","0.21","16.6","15.8","55","21.4","0.000","2.25","0.33","10.7","10.9","3","1.2","-0.333","","","33.3","20.3","12","4.7","0.000","","","13.5","8.3","30","11.7","0.233","4.45","0.29","13.3","26.7","32","12.5","0.125","0.88","0.18","12.5","28","10.9","0.107","2.93","0.17","10.8","14.3","1","0.4","0.000","-1.00","1.00","-2.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"55","Jaxon Smith-Njigba","SEA","WR","10","2025","255","0.169","4.37","0.36","19.6","94","18","7.1","0.056","5.65","0.45","3.4","16.7","34","13.3","0.382","3.75","0.47","11.7","29.4","27","10.6","0.000","3.29","0.29","13.6","7.4","27","10.6","0.185","3.74","0.41","9.4","22.2","3","1.2","0.333","3.33","0.67","33.3","15.7","26","10.2","-0.077","1.50","0.08","13.7","7.7","30","11.8","0.333","5.42","0.29","12.1","30.0","49","19.2","0.184","6.98","0.34","24.5","28","11.0","0.214","4.18","0.36","9.4","17.9","9","3.5","0.000","2.44","1.00","-4.0","0.0","3","1.2","0.000","","","","0.0","1","0.4","0.000","","","","0.0"
"56","Mason Taylor","NYJ","TE","10","2025","253","-0.028","1.07","0.18","4.0","46","8","3.2","0.125","","0.13","3.1","25.0","34","13.4","0.029","0.97","0.18","6.3","5.9","44","17.4","0.000","0.75","0.14","9.6","9.1","54","21.3","-0.019","2.02","0.28","7.1","0.0","1","0.4","0.000","","","0.0","16.0","18","7.1","-0.222","1.11","0.17","11.1","5.6","6","2.4","0.000","1.17","0.17","8.7","16.7","27","10.7","-0.037","","0.04","0.0","26","10.3","-0.077","1.41","0.21","6.8","0.0","3","1.2","0.000","","0.33","-6.0","0.0","27","10.7","-0.037","1.15","0.19","","0.0","5","2.0","0.000","0.40","0.20","1.0","0.0"
"57","Bijan Robinson","ATL","RB","10","2025","249","0.020","1.98","0.22","3.2","57","11","4.4","-0.182","2.27","0.27","2.8","9.1","12","4.8","0.333","2.62","0.46","7.2","33.3","3","1.2","0.000","","","5.7","0.0","21","8.4","0.000","2.87","0.39","7.5","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","1","0.4","0.000","","","9.0","0.0","8","3.2","0.000","2.30","0.30","0.0","5","2.0","0.000","0.80","0.20","-4.8","0.0","15","6.0","0.000","2.67","0.53","-6.6","0.0","5","2.0","0.000","2.40","0.60","","0.0","168","67.5","0.018","1.78","0.14","-4.2","1.8"
"58","Jauan Jennings","SF","WR","9","2025","248","0.028","1.51","0.22","12.9","54","23","9.3","-0.087","3.17","0.54","3.6","8.7","24","9.7","0.375","2.67","0.42","6.8","33.3","34","13.7","0.059","","0.09","12.5","11.8","36","14.5","0.028","1.14","0.17","10.8","5.6","2","0.8","0.000","","","0.0","18.5","32","12.9","0.000","2.39","0.18","12.4","15.6","32","12.9","0.063","2.38","0.22","12.3","15.6","33","13.3","-0.121","0.67","0.18","9.1","28","11.3","0.000","0.18","0.04","10.3","10.7","1","0.4","0.000","11.00","1.00","","0.0","3","1.2","-0.333","1.33","0.33","","0.0","","0.0","","","","","0.0"
"59","Kendrick Bourne","SF","WR","10","2025","248","0.028","1.91","0.17","10.1","42","24","9.7","0.042","2.96","0.38","2.7","16.7","21","8.5","0.095","3.19","0.33","7.7","14.3","30","12.1","-0.033","2.27","0.17","11.7","6.7","37","14.9","0.189","0.72","0.10","10.5","18.9","4","1.6","-0.250","","","0.0","14.0","33","13.3","0.030","2.50","0.24","10.6","9.1","29","11.7","0.000","4.90","0.20","12.9","10.3","48","19.4","0.000","0.33","0.02","4.2","16","6.5","-0.125","","0.13","5.4","6.3","1","0.4","0.000","","","-4.0","0.0","5","2.0","0.000","","","","0.0","","0.0","","","","","0.0"
"60","Xavier Legette","CAR","WR","9","2025","248","-0.036","1.04","0.17","7.3","43","12","4.8","-0.250","","0.08","3.6","0.0","31","12.5","0.065","1.13","0.26","9.2","16.1","31","12.5","-0.097","1.03","0.16","15.0","6.5","41","16.5","-0.049","1.32","0.22","8.0","2.4","2","0.8","0.000","","","0.0","24.5","23","9.3","-0.087","1.04","0.09","13.5","8.7","16","6.5","0.000","","","14.3","6.3","58","23.4","0.052","1.25","0.13","12.1","27","10.9","-0.148","1.50","0.25","7.4","0.0","4","1.6","0.000","0.25","0.75","-2.5","0.0","3","1.2","0.000","","","","0.0","","0.0","","","","","0.0"
"61","Jalen Nailor","MIN","WR","10","2025","247","0.085","1.26","0.14","13.4","35","7","2.8","0.000","0.75","0.38","2.7","0.0","25","10.1","0.160","1.50","0.27","12.4","28.0","23","9.3","0.043","0.29","0.13","14.2","17.4","50","20.2","0.020","0.96","0.04","8.8","6.0","5","2.0","-0.200","","0.20","0.0","14.0","31","12.6","0.161","1.52","0.13","12.8","19.4","15","6.1","0.000","1.13","0.13","15.7","6.7","39","15.8","0.205","2.65","0.13","15.4","38","15.4","0.079","0.77","0.10","10.8","15.8","1","0.4","0.000","4.00","1.00","-1.0","0.0","13","5.3","0.000","1.00","0.23","","0.0","","0.0","","","","","0.0"
"62","Alec Pierce","IND","WR","8","2025","246","0.081","2.37","0.21","16.3","51","3","1.2","0.000","","0.33","1.7","0.0","24","9.8","0.458","3.71","0.33","15.0","41.7","40","16.3","0.050","3.55","0.20","14.3","12.5","41","16.7","-0.073","0.88","0.15","10.4","7.3","5","2.0","0.400","2.80","0.60","60.0","17.6","21","8.5","-0.095","2.18","0.09","14.9","9.5","26","10.6","0.038","1.42","0.19","14.3","15.4","49","19.9","0.061","3.39","0.20","14.3","36","14.6","0.167","1.47","0.22","12.1","16.7","1","0.4","0.000","","","-1.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"63","Harold Fannin","CLV","TE","10","2025","243","-0.016","1.68","0.25","5.8","62","16","6.6","0.063","3.82","0.47","4.1","25.0","30","12.3","0.000","2.77","0.26","9.6","13.3","19","7.8","-0.053","1.42","0.21","9.8","5.3","56","23.0","0.018","1.47","0.28","6.1","3.6","","0.0","","","","0.0","","17","7.0","0.059","0.39","0.11","9.3","5.9","7","2.9","0.000","","0.14","9.3","0.0","24","9.9","-0.125","","","0.0","36","14.8","-0.083","2.03","0.26","8.1","5.6","6","2.5","0.000","4.43","0.86","-4.3","0.0","29","11.9","0.000","0.93","0.21","","0.0","3","1.2","0.000","4.50","0.25","-0.3","0.0"
"64","Khalil Shakir","BUF","WR","10","2025","243","0.025","1.81","0.24","7.0","59","35","14.4","0.029","2.81","0.31","2.5","11.4","23","9.5","-0.043","0.70","0.13","5.3","4.3","34","14.0","0.029","1.17","0.14","11.2","11.8","23","9.5","0.043","3.71","0.21","7.1","4.3","1","0.4","-1.000","","","0.0","11.0","11","4.5","0.091","","","8.9","9.1","8","3.3","0.000","","","10.6","0.0","31","12.8","0.000","0.81","0.16","6.5","30","12.3","0.133","1.29","0.18","3.4","13.3","29","11.9","0.000","4.21","0.66","-4.3","0.0","16","6.6","0.000","1.13","0.25","","0.0","2","0.8","0.000","","","-5.0","0.0"
"65","Jordan Addison","MIN","WR","7","2025","241","0.083","1.67","0.20","12.0","49","","0.0","","","","","0.0","27","11.2","0.222","2.89","0.37","12.7","25.9","34","14.1","-0.029","0.56","0.11","13.9","2.9","56","23.2","0.036","0.45","0.11","12.8","8.9","5","2.1","0.200","2.80","0.20","20.0","22.8","24","10.0","0.083","1.19","0.12","14.8","16.7","16","6.6","0.125","1.63","0.19","15.1","12.5","46","19.1","0.130","3.49","0.23","13.0","23","9.5","0.087","1.54","0.25","7.9","13.0","2","0.8","0.000","2.50","0.50","-2.5","0.0","6","2.5","0.000","2.00","0.67","","0.0","2","0.8","0.000","","","-2.5","0.0"
"66","Puka Nacua","LA","WR","9","2025","235","0.136","3.59","0.36","16.6","86","19","8.1","0.105","3.37","0.58","3.1","31.6","22","9.4","0.273","3.27","0.41","9.0","27.3","60","25.5","0.150","2.70","0.20","12.4","15.0","47","20.0","0.043","3.32","0.38","8.1","8.5","1","0.4","1.000","12.00","1.00","100.0","13.0","18","7.7","0.056","1.50","0.17","10.2","11.1","6","2.6","0.167","","","9.5","16.7","22","9.4","0.227","6.00","0.48","22.7","24","10.2","0.167","3.76","0.36","6.3","16.7","11","4.7","0.000","8.73","0.91","-1.6","0.0","4","1.7","0.000","1.25","0.25","","0.0","1","0.4","1.000","24.00","1.00","3.0","100.0"
"67","De'Von Achane","MIA","RB","11","2025","234","0.009","1.55","0.30","2.6","71","5","2.1","0.000","0.80","0.20","0.8","0.0","5","2.1","-0.200","","0.20","9.2","0.0","4","1.7","-0.250","","","10.8","0.0","10","4.3","0.000","","","8.7","0.0","","0.0","","","","0.0","","3","1.3","0.333","2.33","0.33","8.3","33.3","6","2.6","0.167","","0.33","9.7","16.7","15","6.4","-0.133","2.63","0.31","6.7","14","6.0","0.000","3.29","0.36","-2.8","0.0","23","9.8","0.000","1.13","0.43","-5.4","0.0","6","2.6","0.000","","0.13","","0.0","143","61.1","0.028","1.69","0.31","-2.9","2.1"
"68","David Njoku","CLV","TE","9","2025","233","-0.017","1.21","0.18","4.7","42","16","6.9","0.063","2.13","0.38","3.3","12.5","11","4.7","0.000","0.55","0.09","5.8","27.3","11","4.7","0.000","","0.09","6.4","9.1","44","18.9","0.000","1.59","0.20","4.0","0.0","","0.0","","","","0.0","","31","13.3","0.000","0.63","0.06","6.9","6.5","9","3.9","-0.111","1.22","0.22","9.0","11.1","23","9.9","0.000","1.00","0.09","4.3","38","16.3","-0.105","1.25","0.23","4.6","2.6","5","2.1","0.000","4.00","0.60","-4.8","0.0","44","18.9","0.000","1.17","0.15","","0.0","1","0.4","0.000","","","-7.0","0.0"
"69","Marquise Brown","KC","WR","10","2025","233","-0.026","1.76","0.23","7.3","55","33","14.2","-0.121","1.94","0.31","2.8","9.1","30","12.9","0.100","2.37","0.33","10.0","13.3","7","3.0","0.286","","","15.1","14.3","32","13.7","-0.125","1.24","0.27","8.0","6.3","1","0.4","0.000","","","0.0","18.0","18","7.7","0.000","3.22","0.11","14.3","5.6","15","6.4","0.000","","","12.6","6.7","38","16.3","-0.053","1.12","0.17","2.6","43","18.5","0.023","2.74","0.26","12.8","9.3","7","3.0","0.000","0.25","0.25","-3.9","0.0","8","3.4","-0.250","1.75","0.25","","0.0","1","0.4","0.000","","","2.0","0.0"
"70","Jonathan Taylor","IND","RB","10","2025","232","0.004","1.11","0.14","0.4","32","","0.0","","","","","0.0","1","0.4","0.000","","","7.0","0.0","1","0.4","0.000","","","5.0","0.0","7","3.0","0.000","","","3.9","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","9","3.9","0.000","4.30","0.10","0.0","3","1.3","0.000","6.33","0.33","-3.7","0.0","13","5.6","0.000","0.85","0.15","-5.1","0.0","7","3.0","0.000","1.00","0.14","","0.0","191","82.3","0.005","0.87","0.14","-2.5","0.5"
